run_key,algorithm,dataset,n_layers,n_qubits,prune_ratio,drop_prob,accumulate_window,prune_window,n_drop_wires,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
dropout_MUTAG_L1_Q4_DP0.5_NW1,dropout,MUTAG,1,4,,0.5,,,1,0.7657894736842106,0.07922250087042199,0.8084221918432444,0.09315656433056536,0.8775641025641026,0.1234186628429249,0.8315426803470283,0.05868375414910475,0.7185592185592186,0.19368669476456415,0.8617739436902481,0.10551802405584504
dropout_MUTAG_L1_Q4_DP0.7_NW1,dropout,MUTAG,1,4,,0.7,,,1,0.7549707602339182,0.07621209149775396,0.816926465347518,0.07883980449257764,0.8365384615384615,0.12802070068063737,0.8170238658282137,0.05967009434639685,0.7363247863247864,0.16976761580058433,0.867957271164508,0.08859023193377474
dropout_MUTAG_L1_Q8_DP0.3_NW1,dropout,MUTAG,1,8,,0.3,,,1,0.7657894736842106,0.07564514540712708,0.8305256147361411,0.07722032858084678,0.8294871794871795,0.10742488163340626,0.8233063333606812,0.05754106708593888,0.7622405372405373,0.13191314860431902,0.8819623164167252,0.061878971983401136
dropout_MUTAG_L1_Q8_DP0.5_NW1,dropout,MUTAG,1,8,,0.5,,,1,0.760233918128655,0.08012976377803929,0.8339777473988,0.09744652914764974,0.8282051282051281,0.13585509742026258,0.818590299394647,0.062439229117145105,0.7567002442002442,0.12080279287638636,0.8817060298453191,0.05971381982077156
dropout_MUTAG_L1_Q8_DP0.7_NW1,dropout,MUTAG,1,8,,0.7,,,1,0.7713450292397661,0.07790957482968265,0.8480325814536341,0.0980342089269681,0.8282051282051281,0.12521513373906232,0.826493265993266,0.05771656625443009,0.736431623931624,0.17774467948899728,0.865692466616124,0.10328094510322841
dropout_PROTEINS_L1_Q4_DP0.3_NW1,dropout,PROTEINS,1,4,,0.3,,,1,0.681917631917632,0.03544308721606347,0.6223763002354521,0.06631482513475828,0.5822222222222223,0.07812620369443089,0.5952428327826124,0.04295812152761762,0.6563226795316348,0.06490357635444244,0.6152956234864224,0.06641053404125238
dropout_PROTEINS_L1_Q4_DP0.5_NW1,dropout,PROTEINS,1,4,,0.5,,,1,0.6765202702702703,0.03819650732516225,0.577764812167217,0.19742881855372568,0.4666666666666666,0.18592445034090566,0.5083313935283664,0.18422827785161486,0.6473855470124127,0.06923353258671129,0.6097031055580444,0.06934947552628423
dropout_PROTEINS_L1_Q4_DP0.7_NW1,dropout,PROTEINS,1,4,,0.7,,,1,0.6846283783783784,0.03608146988931681,0.6403815907492377,0.06525967102383691,0.5266666666666666,0.08723460633951342,0.5716326329194523,0.05829463540735139,0.6386851098045128,0.0654537951782203,0.6060998281867489,0.06986948086468348
dropout_PROTEINS_L1_Q8_DP0.3_NW1,dropout,PROTEINS,1,8,,0.3,,,1,0.6828426640926641,0.02969915055195907,0.6294972994885307,0.06620790939103882,0.5511111111111111,0.05862624870343519,0.5835759504447616,0.03405458741898054,0.6776637016935525,0.04755871029844977,0.6316960859413868,0.06908584376814726
dropout_PROTEINS_L1_Q8_DP0.5_NW1,dropout,PROTEINS,1,8,,0.5,,,1,0.6855212355212355,0.039807585786683364,0.6361354513789264,0.07292051137510981,0.5488888888888889,0.06816827400079097,0.5846666884532554,0.04697754760919001,0.6717164179104478,0.04213700393836415,0.6224410386206127,0.06156915669613547
dropout_PROTEINS_L1_Q8_DP0.7_NW1,dropout,PROTEINS,1,8,,0.7,,,1,0.69002574002574,0.025164706454689163,0.6396763017373949,0.04406043920072597,0.5466666666666666,0.07646511348482335,0.5851005761227415,0.050652183721474696,0.6658605960098497,0.0469647923230609,0.6228050541630783,0.05778220316341479
both_MUTAG_L1_Q4_PR0.5_AW10_PW8_DP0.3_NW1,both,MUTAG,1,4,0.5,0.3,10,8,1,0.7497076023391813,0.10886621079036346,0.822069597069597,0.09750256780159475,0.8147435897435897,0.11529376765445977,0.8116958596958597,0.07783593912874899,0.7636141636141636,0.12732655456825834,0.8829159380632202,0.06489936142331616
both_MUTAG_L1_Q4_PR0.5_AW10_PW8_DP0.5_NW1,both,MUTAG,1,4,0.5,0.5,10,8,1,0.7494152046783625,0.08368960469086238,0.8180566947672212,0.0834428881353219,0.8314102564102563,0.1519933841426747,0.8108121608665086,0.0712753068260694,0.7170940170940171,0.14197715095667726,0.8613157864419325,0.06482189180468419
both_MUTAG_L1_Q4_PR0.5_AW10_PW8_DP0.7_NW1,both,MUTAG,1,4,0.5,0.7,10,8,1,0.7342105263157894,0.112460641025641,0.818399407609934,0.10410672057833281,0.791025641025641,0.15167268124277183,0.7944002394545873,0.09084692997595699,0.7417277167277169,0.11962476329819813,0.8681593057019498,0.060700011476493426
both_MUTAG_L1_Q4_PR0.8_AW10_PW8_DP0.3_NW1,both,MUTAG,1,4,0.8,0.3,10,8,1,0.7552631578947369,0.07527806029392321,0.8415368549579076,0.09986713006434782,0.8115384615384615,0.139272317548176,0.8119227312648366,0.060149325401239635,0.7511752136752138,0.11328584963823993,0.8777657728480097,0.056345558744697016
both_MUTAG_L1_Q4_PR0.8_AW10_PW8_DP0.5_NW1,both,MUTAG,1,4,0.8,0.5,10,8,1,0.7549707602339182,0.07621209149775396,0.8195299437404702,0.06751416787768191,0.8211538461538461,0.10349934174167436,0.8151336364923323,0.0583892350232351,0.7509004884004884,0.12816419360017897,0.8763289704780238,0.06568528091084358
both_MUTAG_L1_Q4_PR0.8_AW10_PW8_DP0.7_NW1,both,MUTAG,1,4,0.8,0.7,10,8,1,0.7818713450292398,0.07962885419346098,0.8359668401773664,0.08659334538622841,0.8538461538461538,0.11537749265764885,0.8366268453768454,0.06271048504532455,0.7674450549450549,0.12582771647795465,0.88129048808794,0.0664147758631818
both_MUTAG_L1_Q4_PR0.9_AW10_PW8_DP0.3_NW1,both,MUTAG,1,4,0.9,0.3,10,8,1,0.7497076023391813,0.08894081278155085,0.8203308095413359,0.08870117503260022,0.8211538461538461,0.15553163265842884,0.8073915970248923,0.0830542404446419,0.7532356532356533,0.1260379360554661,0.8733214599915005,0.0648419722749624
